group,method,n,mean,ci_low,ci_high
scifact,bm25,45,0.636523503549741,0.5092851183574695,0.7531250405048684
scifact,dense,45,0.6984797654369136,0.5881085993216184,0.8077111035705931
scifact,static_rrf,45,0.6742174265281639,0.5621207710975812,0.7708969482592742
scifact,wrrf_weak,45,0.684630168913775,0.577281619186665,0.7878644187252373
scifact,wrrf_strong,45,0.6938901993829882,0.5868723546875041,0.7953502488537054
scifact,moe,45,0.6995223153656293,0.5853369329333047,0.8066807929776001
nfcorpus,bm25,45,0.23194291146382268,0.15787621605611812,0.31664245058399004
nfcorpus,dense,45,0.2605792092774809,0.19094731167036957,0.3369579097674614
nfcorpus,static_rrf,45,0.2673584356081116,0.19491894158558126,0.3471008310965144
nfcorpus,wrrf_weak,45,0.27033790868861035,0.19900830030212222,0.34587680238529395
nfcorpus,wrrf_strong,45,0.26761087997338395,0.19551806563627447,0.34473798292365043
nfcorpus,moe,45,0.2710585786695132,0.19789110018225667,0.34761504705676677
arguana,bm25,45,0.28592439457955626,0.23351496857530363,0.3426239544615473
arguana,dense,45,0.41862154730343615,0.3670594797023867,0.46716337625450555
arguana,static_rrf,45,0.3825156839470839,0.33421493023660037,0.4298049414398665
arguana,wrrf_weak,45,0.41300147967805073,0.36395791062144783,0.4598952870355912
arguana,wrrf_strong,45,0.4159117060230421,0.36773569670964895,0.4645429686233997
arguana,moe,45,0.41033230788257113,0.35941664212914765,0.45878846098401826
fiqa,bm25,45,0.2410190144425043,0.16303713349819665,0.3240829900437397
fiqa,dense,45,0.43186769167927325,0.34208458010627335,0.5146562095326735
fiqa,static_rrf,45,0.3850615489762001,0.30821883953144075,0.46745526183106784
fiqa,wrrf_weak,45,0.42603435198050865,0.3380247097865554,0.5184491546224961
fiqa,wrrf_strong,45,0.43693554313492144,0.3485988040276774,0.5285924555099619
fiqa,moe,45,0.4370541595516006,0.3531188920671354,0.5236930276748821
scidocs,bm25,45,0.2418936941183961,0.1772087630097825,0.3153127423011286
scidocs,dense,45,0.2909261874000526,0.22723067022666726,0.36445951946273397
scidocs,static_rrf,45,0.3061844002871901,0.23700555220613775,0.3799803133005248
scidocs,wrrf_weak,45,0.31637072415135303,0.24302021233112417,0.39277279141254295
scidocs,wrrf_strong,45,0.3070185077534501,0.23818522319943744,0.3857585806910677
scidocs,moe,45,0.3100916567762227,0.2382482058702431,0.38929822929153063
MACRO,bm25,225,0.32746070363080404,0.283314051646725,0.37083421759027213
MACRO,dense,225,0.42009488021943125,0.3755182763967767,0.460900055512539
MACRO,static_rrf,225,0.4030674990693499,0.3597367939034694,0.4436544301126057
MACRO,wrrf_weak,225,0.42207492668245955,0.3782858242765336,0.46501231027633577
MACRO,wrrf_strong,225,0.42427336725355713,0.3772234559125615,0.4664986206013525
MACRO,moe,225,0.42561180364910733,0.37974025306203824,0.46653464499364145
